Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Observation-ExampleMesObservationStepsByDay001.json	1054	18	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	4	11	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleObservationWaistCircumference001.json	1057	18	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	4	12	14	0	0	0	0	0	0
fsh-generated/resources/Observation-cholesterol-hdl-example.json	870	20	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	4	12	8	0	0	0	0	0	0
fsh-generated/resources/Observation-cholesterol-ldl-example.json	688	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	9	0	0	0	0	0	0
fsh-generated/resources/Observation-cholesterol-total-example.json	1020	28	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	12	8	0	0	0	0	0	0
fsh-generated/resources/Observation-cholesterol-trigly-example.json	1022	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	12	8	0	0	0	0	0	0
fsh-generated/resources/Patient-ExamplefrPatient001.json	1062	28	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	11	13	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExampleFrPractitionner001.json	627	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	10	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mesures-bundle-flux-alimentation-cholesterol.json	6211	29	0	0	0	0	0	396	0	72	0	0	1	0	0	0	0	3	0	0	1	1048	3226	0	0	0	17	1	3
fsh-generated/resources/StructureDefinition-mesures-bundle-flux-alimentation.json	4243	27	0	0	0	0	0	643	0	38	0	0	0	0	0	0	0	1	0	0	0	516	1901	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-mesures-cholesterol-diagnostic-report.json	3276	22	1	0	0	0	0	45	0	68	0	0	0	0	0	0	0	1	0	0	0	288	596	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bmi.json	2795	22	0	0	0	0	0	66	0	118	0	0	0	0	0	0	0	1	0	0	1	603	1032	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-temperature.json	4342	22	0	0	0	0	0	63	0	1232	0	0	1	0	0	0	0	1	0	0	1	586	899	0	1	0	12	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-body-weight.json	3588	22	0	0	0	0	0	60	1	41	0	0	0	0	0	0	0	1	0	0	1	479	836	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bodyheight.json	3973	22	0	0	0	0	0	66	0	66	0	0	0	0	0	0	0	1	0	0	1	478	757	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-bp.json	5168	21	0	0	0	0	0	75	0	73	0	0	0	0	0	0	0	2	0	0	0	802	1354	0	0	0	17	0	2
fsh-generated/resources/StructureDefinition-mesures-fr-observation-heartrate.json	4737	21	0	0	0	0	0	59	0	57	0	0	1	0	0	0	0	1	0	0	1	553	995	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-mesures-fr-observation-oxygen-sat.json	2829	22	0	0	0	0	0	55	0	59	0	0	0	0	0	0	0	1	0	0	1	483	770	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-mesures-fr-observation-resp-rate.json	2254	21	1	0	0	0	0	92	0	35	0	0	0	0	0	0	0	1	0	0	0	405	641	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-mesures-moment-of-measurement.json	1758	21	0	0	0	0	0	35	0	30	0	0	0	0	0	0	0	0	0	0	1	99	112	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-mesures-number-of-days.json	1697	21	0	0	0	0	0	33	0	25	0	0	0	0	0	0	0	0	0	0	1	52	81	0	0	1	1	0	0
fsh-generated/resources/StructureDefinition-mesures-observation-cholesterol-hdl.json	3491	21	0	0	0	0	0	39	0	68	0	0	0	0	0	0	0	1	0	0	0	421	358	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-cholesterol-ldl.json	3491	21	0	0	0	0	0	48	0	43	0	0	0	0	0	0	0	1	0	0	0	415	335	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-mesures-observation-cholesterol-total.json	3369	21	0	0	0	0	0	51	0	59	0	0	1	0	0	0	0	1	0	0	1	410	399	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-cholesterol-trigly.json	3389	22	0	0	0	0	0	50	0	36	0	0	0	0	0	0	0	0	0	0	0	410	429	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-glucose.json	8777	21	1	0	0	0	0	66	0	87	0	0	0	0	0	0	0	2	0	0	1	696	567	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-head-circumference.json	5126	22	0	0	0	0	0	53	0	71	0	0	0	0	0	0	0	1	0	0	1	482	392	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-mesures-observation-pain-severity.json	4980	21	0	0	0	0	0	88	0	68	0	0	1	0	0	0	0	1	0	0	1	538	535	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-steps-by-day.json	5863	22	0	0	0	0	0	55	0	64	0	0	0	0	0	0	0	1	0	0	1	535	434	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-mesures-observation-waist-circumference.json	5328	22	0	0	0	0	0	33	0	104	0	0	0	0	0	0	0	1	0	0	1	520	428	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-mesures-reason-for-measurement.json	1383	21	0	0	0	0	0	22	0	26	0	0	0	0	0	0	0	0	0	0	1	49	98	0	0	0	0	0	0
fsh-generated/resources/ValueSet-method-glucose-vs.json	597	22	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	6	12	5979	0	0	0	1	0	0
